scouter,eventCode,matchLevel,matchNumber,robot,teamNumber,as,asg,acc,acs,am,ad,tct,tsg,tfc,wf,wd,who,lnk,fpu,dt,fs,dn,ds,ls,dr,sd,sr,die,tip,dc,all,co,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
KG,2023inmish,qm,10,b3,862,[38],[],0,1,0,e,"[14.6,15.0,13.2]","[1,3,4]",0,0,0,,0,1,0,e,2,1,0,x,0,3,0,0,0,0,,,,,,,,,
LRS,2023inmish,qm,10,b3,862,[38],[32],0,1,1,e,"[13.3,18.3]","[1,3,4,21]",0,0,0,,1,3,0,e,2,2,0,x,1,4,0,0,0,1,Dropped one cone,,,,,,,,
TJM,2023inmish,qm,10,b2,6721,[62],[],0,0,0,x,[],[],0,0,0,,0,0,0,x,0,-1,0,x,0,1,0,0,0,0,Seemed to shut down mid March,,,,,,,,
C.M.C,2023inmish,qm,10,r2,3865,[35],[],1,1,1,x,[7.0],[],0,0,0,,0,1,0,e,3,0,0,x,0,3,0,0,0,0,Didnt really do much tbh ,,,,,,,,
WS,2023inmish,qm,10,r1,1555,[59],[],0,0,0,x,[],[18],0,0,0,,0,0,6.7,e,3,0,0,x,0,1,0,0,0,0,,,,,,,,,
JLD,2023inmish,qm,10,r3,1747,[62],[],0,0,0,d,[],[],0,0,1,6721,0,0,0,p,3,2,0,g,0,3,0,0,0,1,,,,,,,,,
AMB,2023inmish,qm,10,b2,6721,[62],[],0,0,0,x,[],[],0,0,0,,0,,0,x,2,0,0,b,0,1,1,1,1,0,"Stopped twice, did nothing",,,,,,,,
CJN,2023inmish,qm,11,r2,45,[59],[],1,0,1,x,"[6.5,3.3]","[14,13]",0,1,0,,0,0,7.4,e,2,1,0,x,0,5,0,0,0,1,,,,,,,,,
KSG,2023inmish,qm,11,b3,3487,[38],[],0,0,0,x,[],[],0,0,0,,0,2,0,e,3,0,0,x,0,2,0,0,0,0,,,,,,,,,
AMB,2023inmish,qm,11,b2,1501,[62],[],0,0,0,x,[],"[10,3,4]",0,1,0,,0,,0,e,3,2,0,x,1,5,0,0,1,1,"Very fast, scored often",,,,,,,,
LJP,2023inmish,qm,11,b3,3487,[38],[1],0,0,1,a,[],"[28,21]",0,0,0,,1,3,0,x,0,1,1,a,0,2,0,0,0,0,Not impressive,,,,,,,,
CRU,2023inmish,qm,11,b2,1501,[62],[10],1,0,1,x,"[13.0,11.1]","[3,4,28]",0,0,0,,1,0,0,e,3,1,1,x,0,4,0,0,0,1,,,,,,,,,
WS,2023inmish,qm,11,r1,71,[59],[],0,0,1,e,[],"[8,14]",0,0,0,,0,2,3.8,e,2,2,0,x,0,4,0,0,0,1,,,,,,,,,
C.M.C,2023inmish,qm,11,r2,45,[71],[],1,1,1,x,[15.7],[15],0,0,0,,0,0,3.8,e,2,1,0,x,1,3,0,0,1,0,Decent at picking up but missed a few grid cones,,,,,,,,
